aX,aY,aZ
0.048,0.219,0.982
0.026,0.221,0.903
0,0.221,0.954
-0.032,0.226,1.034
-0.032,0.223,1.128
-0.074,0.184,1.188
-0.123,0.184,1.201
-0.162,0.122,1.187
-0.173,0.066,1.187
-0.163,0.034,1.171
-0.143,0.029,1.164
-0.126,0.038,1.16
-0.126,0.045,1.153
-0.116,0.045,1.139
-0.106,0.045,1.12
-0.099,0.035,1.12
-0.089,0.017,1.101
-0.079,0,1.081
-0.069,-0.009,1.06
-0.069,-0.011,1.039
-0.061,-0.005,1.019
-0.053,-0.005,1.003
-0.044,0,0.878
-0.035,0.003,0.991
-0.021,0.003,0.975
-0.007,0,0.957
-0.007,-0.003,0.944
0.008,-0.007,0.927
0.022,-0.007,0.908
0.032,-0.009,0.892
0.041,-0.007,0.892
0.048,-0.007,0.875
0.055,-0.01,0.86
0.055,-0.011,0.85
0.061,-0.014,0.843
0.069,-0.014,0.837
0.078,-0.019,0.837
0.081,-0.023,0.837
0.086,-0.027,0.836
0.093,-0.029,0.838
0.096,-0.028,0.846
0.096,-0.028,0.854
0.094,-0.028,0.863
0.092,-0.029,0.874
0.089,-0.028,0.999
0.081,-0.029,0.884
0.073,-0.031,0.895
0.065,-0.033,0.903
0.065,-0.039,0.909
0.054,-0.045,0.916
0.045,-0.045,0.924
0.036,-0.053,0.933
0.024,-0.066,0.933
0.017,-0.077,0.94
0.011,-0.087,0.946
0.003,-0.097,0.952
0.003,-0.106,0.957
-0.002,-0.106,0.963
-0.004,-0.115,0.971
-0.006,-0.121,0.971
-0.003,-0.126,0.977
0.004,-0.128,0.982
0.01,-0.128,0.985
0.01,-0.133,0.986
0.017,-0.133,0.985
0.026,-0.138,0.984
0.034,-0.14,0.984
0.039,-0.143,0.982
0.046,-0.149,0.979
0.051,-0.152,0.975
0.051,-0.151,0.969
0.054,-0.151,0.963
0.054,-0.151,0.956
0.05,-0.148,0.951
0.043,-0.143,0.951
0.036,-0.141,0.946
0.033,-0.144,0.939
0.028,-0.152,0.933
0.028,-0.16,0.93
0.023,-0.171,0.931
0.021,-0.171,0.931
0.015,1.163,1.628
