aX,aY,aZ
-0.02,0.55,1.021
-0.016,0.551,1.021
-0.012,0.551,1.024
-0.007,0.549,1.024
-0.008,0.549,1.023
-0.013,0.55,1.023
-0.013,0.548,1.026
-0.019,0.542,1.028
-0.022,0.542,1.032
-0.025,0.54,1.032
-0.032,0.541,1.032
-0.038,0.538,1.033
-0.042,0.532,1.034
-0.046,0.528,1.032
-0.046,0.524,1.03
-0.048,0.521,1.029
-0.046,0.521,1.029
-0.046,0.519,1.029
-0.048,0.516,1.029
-0.05,0.512,1.028
-0.05,0.508,1.026
-0.05,0.506,1.025
-0.05,0.502,1.026
-0.045,0.502,1.027
-0.041,0.502,1.027
-0.041,0.505,1.026
-0.039,0.507,1.027
-0.036,0.509,1.028
-0.032,0.51,1.027
-0.032,0.511,1.027
-0.028,0.511,1.026
-0.025,0.512,1.024
-0.02,0.513,1.025
-0.015,0.513,1.025
-0.013,0.512,1.026
-0.01,0.51,1.027
-0.01,0.508,1.026
-0.006,0.507,1.026
-0.004,0.507,1.025
-0.002,0.507,1.025
0.001,0.509,1.025
0.004,0.513,1.026
0.008,0.518,1.022
0.019,0.488,1.043
0.019,0.467,1.076
0.033,0.467,1.079
0.047,0.492,1.068
0.063,0.524,1.068
0.069,0.553,1.055
0.066,0.569,1.039
0.061,0.566,1.028
0.061,0.553,1.03
0.06,0.553,1.044
0.066,0.543,1.061
0.076,0.54,1.061
0.085,0.547,1.079
0.093,0.555,1.099
0.097,0.559,1.118
0.097,0.558,1.137
0.098,0.558,1.155
0.097,0.558,1.173
0.09,0.561,1.173
0.082,0.566,1.19
0.072,0.568,1.207
0.058,0.57,1.223
0.058,0.572,1.238
0.047,0.574,1.256
0.039,0.574,1.273
0.029,0.58,1.285
0.018,0.583,1.285
0.01,0.588,1.296
0.009,0.598,1.307
0.01,0.61,1.315
0.01,0.618,1.325
0.011,0.618,1.336
0.014,0.621,1.343
0.011,0.619,1.343
0,0.614,1.346
-0.012,0.612,1.347
-0.023,0.608,1.342
-0.023,0.602,1.339
-0.029,0.602,1.34
-0.028,0.592,1.341
-0.026,0.577,1.341
-0.028,0.562,1.337
-0.032,0.546,1.328
-0.036,0.536,1.318
-0.036,0.529,1.307
-0.038,0.519,1.296
-0.04,0.519,1.281
0.028,0.677,1.317
0.025,0.686,1.327
0.025,0.689,1.34
0.025,0.689,1.355
0.027,0.689,1.37
0.031,0.688,1.495
0.03,0.684,1.38
0.025,0.681,1.387
0.017,0.677,1.397
0.017,0.667,1.406
0.005,0.667,1.41
-0.006,0.656,1.411
-0.015,0.65,1.407
-0.019,0.646,1.407
-0.02,0.64,1.399
-0.015,0.63,1.391
-0.015,0.615,1.386
-0.008,0.6,1.377
-0.002,0.6,1.367
0.007,0.588,1.36
0.024,0.58,1.36
0.043,0.57,1.35
0.063,0.554,1.336
0.077,0.534,1.321
0.077,0.517,1.301
0.082,0.517,1.28
0.089,0.502,1.262
0.1,0.489,1.262
0.11,0.473,1.243
0.112,0.455,1.216
0.107,0.438,1.188
0.107,0.42,1.159
0.098,0.404,1.128
0.085,0.404,1.101
0.076,0.39,1.101
0.073,0.373,1.077
0.07,0.354,1.051
0.061,0.34,1.017
0.061,0.335,0.987
0.052,0.329,0.967
0.048,0.329,0.947
0.042,0.32,0.947
0.037,0.312,0.93
0.028,0.298,0.915
0.006,0.282,0.895
-0.119,0.268,0.874
-0.027,0.251,0.854
-0.059,0.251,0.838
-0.077,0.226,0.832
-0.095,0.197,0.832
-0.123,0.163,0.826
-0.153,0.127,0.82
-0.176,0.084,0.818
-0.176,0.043,0.817
-0.19,0.009,0.819
-0.195,0.009,0.822
-0.204,-0.022,0.822
-0.225,-0.052,0.816
-0.246,-0.081,0.804
-0.265,-0.107,0.792
-0.265,-0.145,0.785
-0.278,-0.21,0.768
-0.282,-0.335,0.741
-0.276,-0.254,0.713
-0.263,-0.265,0.713
-0.251,-0.28,0.676
-0.236,-0.31,0.634
-0.212,-0.347,0.601
-0.212,-0.383,0.58
-0.179,-0.416,0.569
-0.142,-0.416,0.562
-0.107,-0.45,0.562
-0.071,-0.477,0.562
-0.03,-0.5,0.566
0.013,-0.527,0.562
0.013,-0.552,0.556
0.054,-0.579,0.549
0.095,-0.579,0.539
0.132,-0.628,0.529
0.153,-0.667,0.529
0.163,-0.658,0.523
0.177,-0.64,0.531
0.19,-0.639,0.546
0.19,-0.654,0.553
0.193,-0.654,0.555
0.186,-0.654,0.565
0.179,-0.64,0.565
0.169,-0.639,0.575
0.156,-0.639,0.578
0.14,-0.639,0.574
0.015,-0.637,0.567
0.124,-0.632,0.565
0.112,-0.632,0.565
0.098,-0.625,0.561
0.088,-0.617,0.561
0.081,-0.609,0.558
0.075,-0.6,0.554
